,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density,recommend
0,로비라운지,경양식,02 5597034,서울특별시 강남구 삼성동 159번지 ,"[37.5101935, 127.0585824]",80.29,24.35,41.132
1,로비바,경양식,02 5597034,서울특별시 강남구 삼성동 159번지 ,"[37.5101935, 127.0585824]",70.12,83.01,79.143
2,노블발렌티,한식,02 5400711,서울특별시 강남구 삼성동 109-6번지 ,"[37.5152844, 127.0648056]",75.53,71.62,72.793
3,취화선,중국식,02 5080409,서울특별시 강남구 대치동 974-1번지 ,"[37.5007989, 127.0601254]",65.53,26.55,38.244
4,고향집,중국식,02 5474301,서울특별시 강남구 논현동 237-0번지 ,"[37.5092943, 127.0367839]",98.96,96.35,97.13299999999998
5,삼원가든,한식,02 5445351,서울특별시 강남구 신사동 623-4번지 58 ,"[37.5252059, 127.0328155]",66.55,52.06,56.407
6,마미치킨,한식,02 5571408,서울특별시 강남구 대치동 316-0번지 은마상가 A-동 110호,"[37.4974576, 127.0653265]",62.41,12.71,27.619999999999997
7,마산옥,한식,02 5447207,서울특별시 강남구 신사동 512-20번지 ,"[37.517226, 127.0202251]",64.56,43.65,49.922999999999995
8,용범이네 인계동 껍데기 역삼점,한식,02 5677868,서울특별시 강남구 역삼동 797-4,"[37.4947497, 127.0394598]",74.15,26.49,40.788
9,짱이네,한식,02 5471437,서울특별시 강남구 논현동 237-5번지 ,"[37.5093304, 127.0372438]",87.73,33.54,49.797
10,치킨뱅이,한식,02 5667908,서울특별시 강남구 역삼동 689-7번지 ,"[37.50594630000001, 127.0414801]",52.05,71.6,65.73499999999999
11,현대이모네2,한식,02 5664807,서울특별시 강남구 삼성동 166-6번지 ,"[37.5121302, 127.0653143]",58.91,85.83,77.75399999999999
12,이동분식쎈타,한식,02 5564723,서울특별시 강남구 역삼동 721-24번지 ,"[37.5004283, 127.0433726]",54.49,69.26,64.82900000000001
13,정육점식당,분식,02 4598187,서울특별시 강남구 세곡동 96-2번지 ,"[37.4653211, 127.1093738]",67.48,41.67,49.413
14,페리카나,분식,02 5757129,서울특별시 강남구 세곡동 124-2번지 ,"[37.464074, 127.1072239]",64.35,18.08,31.960999999999995
15,불로만치킨,분식,02 4009406,서울특별시 강남구 세곡동 124-2,"[37.464074, 127.1072239]",80.93,9.03,30.599999999999998
16,청담면옥,한식,02   00000,서울특별시 강남구 삼성동 8-1번지 ,"[37.5158337, 127.0422812]",82.88,50.79,60.416999999999994
17,우츠와,한식,02 5115159,서울특별시 강남구 삼성동 9-6번지 ,"[37.5151442, 127.0428081]",72.53,63.4,66.139
18,삼환,한식,02 5462429,서울특별시 강남구 삼성동 107-5번지 외2필지 ,"[37.5149415, 127.0609955]",63.75,71.49,69.16799999999999
19,커피온리(신논현역점),분식,02 5485578,서울특별시 강남구 논현동 164-11번지 ,"[37.5074236, 127.023501]",54.27,8.1,21.950999999999997
20,60년 전통 신촌 황소곱창,한식,02 5461808,서울특별시 강남구 논현동 144-0번지 ,"[37.5097195, 127.0230639]",65.58,30.41,40.961
